,State_Name,Assembly_No,Poll_No,Year,Year_Count,Count
33,Punjab,3,0,1962,1,1
55,Uttar_Pradesh,3,0,1962,1,1
12,Manipur,1,0,1967,1,1
35,Punjab,4,0,1967,1,1
57,Uttar_Pradesh,4,0,1967,1,1
37,Punjab,5,0,1969,1,1
59,Uttar_Pradesh,5,0,1969,1,1
13,Manipur,2,0,1972,1,1
39,Punjab,6,0,1972,1,1
14,Manipur,3,0,1974,1,1
61,Uttar_Pradesh,6,0,1974,1,1
40,Punjab,7,0,1977,1,1
62,Uttar_Pradesh,7,0,1977,1,1
16,Manipur,4,0,1980,1,1
41,Punjab,8,0,1980,1,1
64,Uttar_Pradesh,8,0,1980,1,1
18,Manipur,5,0,1984,1,1
43,Punjab,9,0,1985,1,1
66,Uttar_Pradesh,9,0,1985,1,1
0,Goa,1,0,1989,1,1
68,Uttar_Pradesh,10,0,1989,1,1
20,Manipur,6,0,1990,1,1
69,Uttar_Pradesh,11,0,1991,1,1
44,Punjab,10,0,1992,1,1
71,Uttar_Pradesh,12,0,1993,1,1
1,Goa,2,0,1994,1,1
22,Manipur,7,0,1995,1,1
73,Uttar_Pradesh,13,0,1996,1,1
46,Punjab,11,0,1997,1,1
3,Goa,3,0,1999,1,1
24,Manipur,8,0,2000,1,1
84,Uttarakhand,1,0,2002,1,1
4,Goa,4,0,2002,1,1
26,Manipur,9,0,2002,1,1
48,Punjab,12,0,2002,1,1
75,Uttar_Pradesh,14,0,2002,1,1
86,Uttarakhand,2,0,2007,1,1
7,Goa,5,0,2007,1,1
28,Manipur,10,0,2007,1,1
50,Punjab,13,0,2007,1,1
78,Uttar_Pradesh,15,0,2007,1,1
88,Uttarakhand,3,0,2012,1,1
9,Goa,6,0,2012,1,1
30,Manipur,11,0,2012,1,1
52,Punjab,14,0,2012,1,1
80,Uttar_Pradesh,16,0,2012,1,1
90,Uttarakhand,4,0,2017,1,1
11,Goa,7,0,2017,1,1
32,Manipur,12,0,2017,1,1
54,Punjab,15,0,2017,1,1
83,Uttar_Pradesh,17,0,2017,1,1
